"PolicyNumber";"ProposalNumber";"Proses";"AgentCd";"productCd";"CreatedDate";"TransactionId"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:24:54;c3b369ce-fca0-489a-80a2-bd0cc39f4c4a
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:23:55;ce2220ea-e59c-47ad-9aaf-c596a7891149
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:23:14;c7f75a01-8ce6-43da-9d71-89d7909a4fe2
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:22:25;"59eb33c0-639b-4400-bd36-bdd9c60ad810"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:21:30;"980b9677-7b3b-4fbf-903d-fef0fafbc815"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:21:02;"69b697c8-407f-46f3-8312-f2bb40c9c8b5"
"12266846";"9000034224";TUP;"01003838";U2Z;2021-02-26 06:42:27;"07dcc269-29f9-422f-b0ce-43da7756a10e"
"13017377";"9000146100";SWI;"01003838";U2Z;2021-02-26 06:25:22;"4c4456db-f5f5-4015-b9af-33bd0e81551d"
"13333915";"9700141814";SWI;"01005618";U2N;2021-02-26 03:44:24;"9897446d-5426-4b32-b1f4-c7a88719a3b0"
"13498519";"9700153471";TUP;"81000312";U2N;2021-02-25 03:52:20;bb8b457b-c297-4ffd-89e2-dd7575dc5d3c
"13340136";"9700127628";TUP;"81000312";U2N;2021-02-25 03:44:28;c3342289-6a9b-4047-af8c-385d1783838d
"13273093";"9000148629";SWI;"01004384";U2N;2021-02-23 05:46:00;"04d131fe-6641-4746-9175-9ead4f65d953"
"13342585";"9700139766";SWI;"01005528";U2N;2021-02-22 10:52:57;"1c9f450a-cb62-4755-802c-4daa7b83e6f4"
"13407733";"9700145992";SWI;"01005680";U2N;2021-02-22 10:50:48;"0e994665-db48-4124-a162-caf7e422c728"
"12939803";"9000145666";SWI;"01005680";U2N;2021-02-22 10:00:25;d7d67974-3be5-4b5c-95a3-e9687939b42b
"11811379";"200206947";SWI;"01005680";U2Z;2021-02-22 09:54:59;"689e3d39-2cc3-436c-a5ae-9088a98154ec"
"13342585";"9700139766";SWI;"01005528";U2N;2021-02-22 08:35:20;"8cb3f1d8-0676-4b5f-8fdf-5165aa02c83f"
"13407733";"9700145992";SWI;"01005680";U2N;2021-02-22 07:43:54;"101c5955-f905-4628-b508-8b58adedbb24"
"11811379";"200206947";SWI;"01005680";U2Z;2021-02-22 07:39:41;f0a7a1cc-3d9e-4134-b422-7e623f094c68
"12939803";"9000145666";SWI;"01005680";U2N;2021-02-22 07:28:26;bc5069c3-4399-4de7-9931-d39b663b6ea9
"12324297";"9000044624";TUP;"01003838";U2Z;2021-02-05 06:27:12;c95254ae-e96b-4103-b36a-5cf7a6788f77
"12578542";"9000131732";TUP;"81000312";U2Z;2021-02-04 06:51:21;"7ea77375-3a4b-4526-b08a-155b03ec5a48"
"13571942";"9700141827";SWI;"01004696";U2Z;2021-02-04 06:39:31;"0ec7cd3c-f506-4300-bc8c-2427c4991152"
"13333915";"9700141814";SWI;"01005618";U2N;2021-02-02 05:17:26;"3ac7a4c9-253d-4b66-95dd-1214b053046a"
"13558484";"9700150481";SWI;"01005562";U2N;2021-02-01 07:58:19;"69b9b305-1300-4df7-82c4-5e4ceabd0601"
"13558484";"9700150481";SWI;"01005562";U2N;2021-02-01 05:32:16;"9cd3bcfe-9b6d-408e-9b64-3bc9f3e6de77"
"13333915";"9700141814";SWI;"01005618";U2N;2021-02-01 04:06:04;aab4236a-0c90-4b4c-8501-664b936d08e1
"13283509";"9000148819";SWI;"01003970";U2Z;2021-01-28 05:44:58;"475b4e4f-4bf6-4157-aa15-5ac71f84ece9"
"13185197";"9000147520";SWI;"01003970";U2Z;2021-01-28 05:39:56;"85b0b1a2-f0e0-40b8-bf41-f60e8ebfb0a2"
"13267034";"9000148542";SWI;"01003970";U2Z;2021-01-28 05:23:05;"6fdff2b2-17a3-464f-8803-6dbf70917c7d"
"13248697";"200277525";SWI;"01004479";U4D;2021-01-28 05:22:06;"010a2c7c-d790-42a6-84cf-765f5f4f36d1"
"13279488";"9700127618";SWI;"01004479";U2V;2021-01-28 05:18:29;a257cb96-04aa-4c19-8ba7-ace121b2b183
"13279799";"200247691";SWI;"01004479";U2V;2021-01-28 05:14:35;"51e7d063-8f8f-4f5d-bd05-fbb1f3c6319e"
"13363239";"9700144659";SWI;"01004479";U2V;2021-01-28 05:04:58;"8431cabc-00eb-4e8b-8cdd-1bc247d89534"
"12928300";"9000145591";SWI;"01004479";U2V;2021-01-28 04:54:41;"89aff05e-463f-451c-83e5-1818afbbbc04"
"12928311";"9000145590";SWI;"01004479";U2V;2021-01-28 04:46:00;"83a92ccf-99eb-462a-ae30-ddfab8813509"
"12929136";"9000145592";SWI;"01004479";U2V;2021-01-28 04:44:17;"64df8794-1ff3-474b-9d3c-0459588fcbdc"
"13228905";"9000148082";SWI;"01004479";U4D;2021-01-28 04:41:51;"35604748-5037-4589-a17a-aeaa8de35fda"
"13246376";"9000148179";SWI;"01004479";U4D;2021-01-28 04:40:14;"8c25d581-4ca0-496e-bec8-51c7304790f2"
"13276639";"9700131117";SWI;"01004479";U2V;2021-01-27 02:13:47;"435e35c3-4540-4d99-b3ee-be979ddd169a"
"12120288";"9000016237";SWI;"01005612";U2Z;2021-01-26 06:47:32;c5a5325c-a9b1-4e92-86d5-c290dadc716e
"13386253";"9700136857";SWI;"01005612";U2Z;2021-01-26 06:36:09;"90e94412-1df6-4144-98b7-fbdb9fd4dd18"
"12092416";"9000014201";SWI;"01003838";U2Z;2021-01-26 04:38:37;"93655d9b-83a0-481c-8869-a37d2d3d868b"
"13407046";"9700145501";TUP;"81000312";U2Z;2021-01-25 08:52:08;"8f8050fd-6f19-4194-8ef0-89baf1f33070"
"13333915";"9700141814";TUP;"01005618";U2N;2021-01-22 04:19:44;ec05a6f3-9902-4b5a-beba-beca2d3abb83
"13343020";"9700142518";SWI;"01004384";U2N;2021-01-21 08:34:10;"3d4c8411-076a-41ee-898c-2e82683049d0"
"12510812";"9000105655";SWI;"01003838";U2Z;2021-01-15 04:09:58;cb8436a9-d9ce-4b73-85c7-d89499c36005
"13412434";"9700144594";SWI;"01004384";U2N;2021-01-14 07:59:36;b588be97-9cef-4063-9102-b2badab180b4
"13343046";"9700142517";SWI;"01004384";U2N;2021-01-13 07:43:07;d2c54c4b-aed5-4069-b1b7-db65e10b181d
"13333915";"9700141814";SWI;"01005618";U2N;2021-01-13 01:56:31;da92c177-d4ad-4644-b544-cc40246cddb0
"13322668";"9700131991";SWI;"01005612";U2Z;2021-01-12 06:54:11;"8b6c62d3-cfe4-47c9-8ecb-377b14087b18"
"13336247";"9700130391";SWI;"01005687";U2Z;2021-01-12 04:03:35;a2183748-8c1a-4c08-b548-ca9e60e07e92
"13413152";"9700144670";SWI;"01005612";U2Z;2021-01-12 03:46:35;"35355a54-fb86-4d78-b7b3-0bcf2b1bd9e5"
"13311788";"9700131990";SWI;"01005612";U2Z;2021-01-12 03:37:15;c5c11762-7cef-4762-a447-0bc7e3ff6aa0
"13328912";"9700127969";SWI;"01005687";U2Z;2021-01-12 03:29:03;"7f9b8c13-fa6b-4828-93fd-259f8fd1c362"
"13333915";"9700141814";SWI;"01005618";U2N;2021-01-12 03:28:59;acedf92e-0e12-4e5e-96a9-da648f10653b
"13322674";"9700131992";SWI;"01005612";U2Z;2021-01-12 03:24:18;"464c7e3c-af05-433d-9862-acc8ce946bf1"
"13322668";"9700131991";SWI;"01005612";U2Z;2021-01-12 03:19:58;"850d2c72-287d-47d8-aefc-6a45d9c5a51a"
"13390542";"9700140157";SWI;"01005612";U2Z;2021-01-08 03:38:35;"6355c263-256a-4c22-8ca2-8b10ea948ad6"
"12092416";"9000014201";SWI;"01003838";U2Z;2021-01-05 05:08:30;"624a75c9-0d52-469b-818c-17be6c46423c"
"13415316";"9700145223";TUP;"01004384";U2Z;2021-01-05 03:59:52;"70dacd3d-7bd3-4cf8-84e3-7631d662ca05"
"12787394";"9000144119";SWI;"01004384";U2Z;2020-12-23 05:49:12;"7a9db3b0-e1e4-4885-9fb9-3e3705e87da0"
"13128718";"9000147185";SWI;"81000550";U2Z;2020-12-23 04:36:25;"4da37d01-93ed-458c-83d7-29ec230c81fa"
